Index,Weight,Weight-Category,Type
synImage85,105.88,105-110,Digital
synImage86,85.78,85-90,Digital
synImage87,83.29,80-85,Digital
synImage88,100.48,100-105,Digital
synImage89,58.66,55-60,Digital
synImage90,108.42,105-110,Digital
synImage91,87.08,85-90,Digital
synImage92,75.35,75-80,Digital
synImage93,94.64,90-95,Digital
synImage94,63.20,60-65,Digital
synImage95,95.28,95-100,Digital
synImage96,105.36,105-110,Digital
synImage97,57.67,55-60,Digital
synImage98,83.88,80-85,Digital
synImage99,97.21,95-100,Digital
synImage100,57.26,55-60,Digital
synImage101,101.21,100-105,Digital
synImage102,87.79,85-90,Digital
synImage103,68.56,65-70,Digital
synImage104,65.21,65-70,Digital
synImage105,88.53,85-90,Digital
synImage106,76.33,75-80,Digital
synImage107,50.98,50-55,Digital
synImage108,42.14,40-45,Digital
synImage109,90.77,90-95,Digital
synImage110,76.07,75-80,Digital
synImage111,95.70,95-100,Digital
synImage112,87.04,85-90,Digital
synImage113,80.89,80-85,Digital
synImage114,63.06,60-65,Digital
synImage115,57.56,55-60,Digital
synImage116,105.22,105-110,Digital
synImage117,109.26,105-110,Digital
synImage118,42.77,40-45,Digital
synImage119,99.06,95-100,Digital
synImage120,97.39,95-100,Digital
synImage121,75.12,75-80,Digital
synImage122,63.28,60-65,Digital
synImage123,59.35,55-60,Digital
synImage124,46.77,45-50,Digital
synImage125,69.76,65-70,Digital
synImage126,90.62,90-95,Digital
synImage127,60.48,60-65,Digital
synImage128,40.23,40-45,Digital
synImage129,60.80,60-65,Digital
synImage130,73.02,70-75,Digital
synImage131,60.68,60-65,Digital
synImage132,87.44,85-90,Digital
synImage133,97.63,95-100,Digital
synImage134,60.36,60-65,Digital
synImage135,52.86,50-55,Digital
synImage136,40.79,40-45,Digital
synImage137,102.09,100-105,Digital
synImage138,82.08,80-85,Digital
synImage139,74.02,70-75,Digital
synImage140,99.47,95-100,Digital
synImage141,101.63,100-105,Digital
synImage142,54.46,50-55,Digital
synImage143,63.04,60-65,Digital
synImage144,58.02,55-60,Digital
synImage145,102.93,100-105,Digital
synImage146,41.37,40-45,Digital
synImage147,84.51,80-85,Digital
synImage148,89.33,85-90,Digital
synImage149,50.90,50-55,Digital
synImage150,55.61,55-60,Digital
synImage151,66.22,65-70,Digital
synImage152,86.32,85-90,Digital
synImage153,95.23,95-100,Digital
synImage154,88.68,85-90,Digital
synImage155,71.91,70-75,Digital
synImage156,58.19,55-60,Digital
synImage157,62.92,60-65,Digital
synImage158,81.38,80-85,Digital
synImage159,46.20,45-50,Digital
synImage160,97.24,95-100,Digital
synImage161,108.95,105-110,Digital
synImage162,59.02,55-60,Digital
synImage163,91.95,90-95,Digital
synImage164,46.75,45-50,Digital
synImage165,97.18,95-100,Digital
synImage166,78.99,75-80,Digital
synImage167,102.78,100-105,Digital
synImage168,92.23,90-95,Digital
synImage169,76.98,75-80,Digital
synImage170,89.47,85-90,Digital
synImage171,50.02,50-55,Digital
synImage172,105.03,105-110,Digital
synImage173,83.15,80-85,Digital
synImage174,106.27,105-110,Digital
synImage175,65.39,65-70,Digital
synImage176,98.18,95-100,Digital
synImage177,51.73,50-55,Digital
synImage178,90.13,90-95,Digital
synImage179,92.26,90-95,Digital
synImage180,81.19,80-85,Digital
synImage181,55.17,55-60,Digital
synImage182,95.45,95-100,Digital
synImage183,106.39,105-110,Digital
synImage184,100.21,100-105,Digital
synImage185,63.10,60-65,Digital
synImage186,80.63,80-85,Digital
synImage187,58.87,55-60,Digital
synImage188,101.79,100-105,Digital
synImage189,52.13,50-55,Digital
synImage190,80.83,80-85,Digital
synImage191,107.72,105-110,Digital
synImage192,68.21,65-70,Digital
synImage193,80.05,80-85,Digital
synImage194,85.68,85-90,Digital
synImage195,101.29,100-105,Digital
synImage196,44.64,40-45,Digital
synImage197,59.67,55-60,Digital
synImage198,79.12,75-80,Digital
synImage199,77.70,75-80,Digital
synImage200,103.89,100-105,Digital
synImage201,47.23,45-50,Digital
synImage202,46.27,45-50,Digital
synImage203,57.07,55-60,Digital
synImage204,87.87,85-90,Digital
synImage205,83.78,80-85,Digital
synImage206,105.30,105-110,Digital
synImage207,97.15,95-100,Digital
synImage208,68.95,65-70,Digital
synImage209,47.46,45-50,Digital
synImage210,103.60,100-105,Digital
synImage211,71.76,70-75,Digital
synImage212,54.69,50-55,Digital
synImage213,98.48,95-100,Digital
synImage214,99.70,95-100,Digital
synImage215,43.41,40-45,Digital
synImage216,59.36,55-60,Digital
synImage217,57.66,55-60,Digital
synImage218,48.26,45-50,Digital
synImage219,106.21,105-110,Digital
synImage220,98.07,95-100,Digital
synImage221,108.94,105-110,Digital
synImage222,82.11,80-85,Digital
synImage223,100.98,100-105,Digital
synImage224,107.85,105-110,Digital
synImage225,84.49,80-85,Digital
synImage226,87.45,85-90,Digital
synImage227,90.87,90-95,Digital
synImage228,70.30,70-75,Digital
synImage229,74.44,70-75,Digital
synImage230,76.97,75-80,Digital
synImage231,86.17,85-90,Digital
synImage232,79.20,75-80,Digital
synImage233,40.84,40-45,Digital
synImage234,71.69,70-75,Digital
synImage235,98.04,95-100,Digital
synImage236,49.14,45-50,Digital
synImage237,78.69,75-80,Digital
synImage238,104.34,100-105,Digital
synImage239,98.43,95-100,Digital
synImage240,105.29,105-110,Digital
synImage241,100.34,100-105,Digital
synImage242,64.54,60-65,Digital
synImage243,70.42,70-75,Digital
synImage244,40.65,40-45,Digital
synImage245,63.85,60-65,Digital
synImage246,68.58,65-70,Digital
synImage247,73.76,70-75,Digital
synImage248,53.14,50-55,Digital
synImage249,63.47,60-65,Digital
synImage250,50.35,50-55,Digital
synImage251,57.79,55-60,Digital
synImage252,44.09,40-45,Digital
synImage253,69.64,65-70,Digital
synImage254,80.48,80-85,Digital
synImage255,85.46,85-90,Digital
synImage256,106.86,105-110,Digital
synImage257,81.41,80-85,Digital
synImage258,96.18,95-100,Digital
synImage259,105.56,105-110,Digital
synImage260,40.09,40-45,Digital
synImage261,89.27,85-90,Digital
synImage262,60.47,60-65,Digital
synImage263,54.31,50-55,Digital
synImage264,108.49,105-110,Digital
synImage265,44.69,40-45,Digital
synImage266,92.54,90-95,Digital
synImage267,79.12,75-80,Digital
synImage268,73.58,70-75,Digital
synImage269,67.14,65-70,Digital
synImage270,45.23,45-50,Digital
synImage271,51.88,50-55,Digital
synImage272,104.47,100-105,Digital
synImage273,65.47,65-70,Digital
synImage274,87.09,85-90,Digital
synImage275,60.63,60-65,Digital
synImage276,101.49,100-105,Digital
synImage277,81.12,80-85,Digital
synImage278,94.95,90-95,Digital
synImage279,41.86,40-45,Digital
synImage280,109.53,105-110,Digital
synImage281,83.18,80-85,Digital
synImage282,85.82,85-90,Digital
synImage283,72.22,70-75,Digital
synImage284,96.94,95-100,Digital
synImage285,83.81,80-85,Digital
synImage286,62.67,60-65,Digital
synImage287,92.01,90-95,Digital
synImage288,92.73,90-95,Digital
synImage289,70.86,70-75,Digital
synImage290,108.94,105-110,Digital
synImage291,104.21,100-105,Digital
synImage292,49.31,45-50,Digital
synImage293,86.19,85-90,Digital
synImage294,62.65,60-65,Digital
synImage295,87.69,85-90,Digital
synImage296,73.37,70-75,Digital
synImage297,97.40,95-100,Digital
synImage298,94.49,90-95,Digital
synImage299,81.23,80-85,Digital
synImage300,69.02,65-70,Digital
synImage301,73.50,70-75,Digital
synImage302,48.26,45-50,Digital
synImage303,89.92,85-90,Digital
synImage304,87.12,85-90,Digital
synImage305,90.55,90-95,Digital
synImage306,46.70,45-50,Digital
synImage307,85.34,85-90,Digital
synImage308,88.10,85-90,Digital
synImage309,88.46,85-90,Digital
synImage310,109.01,105-110,Digital
synImage311,60.07,60-65,Digital
synImage312,60.30,60-65,Digital
synImage313,41.40,40-45,Digital
synImage314,47.99,45-50,Digital
synImage315,92.95,90-95,Digital
synImage316,54.03,50-55,Digital
synImage317,55.22,55-60,Digital
synImage318,72.00,70-75,Digital
synImage319,62.09,60-65,Digital
synImage320,56.20,55-60,Digital
synImage321,62.84,60-65,Digital
synImage322,53.96,50-55,Digital
synImage323,109.56,105-110,Digital
synImage324,88.84,85-90,Digital
synImage325,77.46,75-80,Digital
synImage326,44.48,40-45,Digital
synImage327,41.72,40-45,Digital
synImage328,100.89,100-105,Digital
synImage329,56.45,55-60,Digital
synImage330,61.47,60-65,Digital
synImage331,81.03,80-85,Digital
synImage332,80.58,80-85,Digital
synImage333,107.63,105-110,Digital
synImage334,53.59,50-55,Digital
synImage335,77.41,75-80,Digital
synImage336,103.83,100-105,Digital
synImage337,61.70,60-65,Digital
synImage338,51.41,50-55,Digital
synImage339,86.41,85-90,Digital
synImage340,77.98,75-80,Digital
synImage341,43.11,40-45,Digital
synImage342,84.11,80-85,Digital
synImage343,78.95,75-80,Digital
synImage344,81.32,80-85,Digital
synImage345,48.73,45-50,Digital
synImage346,101.55,100-105,Digital
synImage347,40.74,40-45,Digital
synImage348,41.77,40-45,Digital
synImage349,58.75,55-60,Digital
synImage350,100.81,100-105,Digital
synImage351,90.42,90-95,Digital
synImage352,66.13,65-70,Digital
synImage353,48.57,45-50,Digital
synImage354,71.10,70-75,Digital
synImage355,107.90,105-110,Digital
synImage356,108.15,105-110,Digital
synImage357,44.73,40-45,Digital
synImage358,106.00,105-110,Digital
synImage359,66.47,65-70,Digital
synImage360,84.41,80-85,Digital
synImage361,62.61,60-65,Digital
synImage362,45.36,45-50,Digital
synImage363,101.35,100-105,Digital
synImage364,100.31,100-105,Digital
synImage365,51.95,50-55,Digital
synImage366,109.25,105-110,Digital
synImage367,79.08,75-80,Digital
synImage368,49.28,45-50,Digital
synImage369,42.00,40-45,Digital
synImage370,98.83,95-100,Digital
synImage371,69.83,65-70,Digital
synImage372,87.76,85-90,Digital
synImage373,72.09,70-75,Digital
synImage374,85.83,85-90,Digital
synImage375,82.88,80-85,Digital
synImage376,55.46,55-60,Digital
synImage377,74.54,70-75,Digital
synImage378,67.79,65-70,Digital
synImage379,109.57,105-110,Digital
synImage380,52.31,50-55,Digital
synImage381,52.19,50-55,Digital
synImage382,54.49,50-55,Digital
synImage383,84.32,80-85,Digital
synImage384,61.39,60-65,Digital
synImage385,98.73,95-100,Digital
synImage386,73.92,70-75,Digital
synImage387,57.07,55-60,Digital
synImage388,91.73,90-95,Digital
synImage389,57.94,55-60,Digital
synImage390,51.68,50-55,Digital
synImage391,92.78,90-95,Digital
synImage392,54.02,50-55,Digital
synImage393,49.53,45-50,Digital
synImage394,64.09,60-65,Digital
synImage395,96.18,95-100,Digital
synImage396,59.98,55-60,Digital
synImage397,62.30,60-65,Digital
synImage398,41.95,40-45,Digital
synImage399,74.11,70-75,Digital
synImage400,64.03,60-65,Digital
synImage401,60.08,60-65,Digital
synImage402,51.90,50-55,Digital
synImage403,57.54,55-60,Digital
synImage404,51.32,50-55,Digital
synImage405,42.48,40-45,Digital
synImage406,79.42,75-80,Digital
synImage407,91.49,90-95,Digital
synImage408,99.45,95-100,Digital
synImage409,63.71,60-65,Digital
synImage410,41.56,40-45,Digital
synImage411,71.80,70-75,Digital
synImage412,97.16,95-100,Digital
synImage413,85.53,85-90,Digital
synImage414,62.68,60-65,Digital
synImage415,96.19,95-100,Digital
synImage416,83.91,80-85,Digital
synImage417,96.60,95-100,Digital
synImage418,51.34,50-55,Digital
synImage419,57.30,55-60,Digital
synImage420,57.37,55-60,Digital
synImage421,62.51,60-65,Digital
synImage422,43.03,40-45,Digital
synImage423,67.24,65-70,Digital
synImage424,59.62,55-60,Digital
synImage425,80.30,80-85,Digital
synImage426,82.86,80-85,Digital
synImage427,55.75,55-60,Digital
synImage428,102.05,100-105,Digital
synImage429,105.59,105-110,Digital
synImage430,105.52,105-110,Digital
synImage431,98.88,95-100,Digital
synImage432,96.44,95-100,Digital
synImage433,74.03,70-75,Digital
synImage434,102.34,100-105,Digital
synImage435,69.39,65-70,Digital
synImage436,101.05,100-105,Digital
synImage437,40.37,40-45,Digital
synImage438,105.28,105-110,Digital
synImage439,84.49,80-85,Digital
synImage440,85.11,85-90,Digital
synImage441,57.59,55-60,Digital
synImage442,41.00,40-45,Digital
synImage443,45.92,45-50,Digital
synImage444,53.64,50-55,Digital
synImage445,84.77,80-85,Digital
synImage446,61.58,60-65,Digital
synImage447,65.63,65-70,Digital
synImage448,103.41,100-105,Digital
synImage449,53.31,50-55,Digital
synImage450,97.74,95-100,Digital
synImage451,98.92,95-100,Digital
synImage452,78.06,75-80,Digital
synImage453,105.14,105-110,Digital
synImage454,79.97,75-80,Digital
synImage455,71.77,70-75,Digital
synImage456,46.56,45-50,Digital
synImage457,82.08,80-85,Digital
synImage458,85.54,85-90,Digital
synImage459,80.56,80-85,Digital
synImage460,69.71,65-70,Digital
synImage461,72.87,70-75,Digital
synImage462,70.66,70-75,Digital
synImage463,45.96,45-50,Digital
synImage464,109.61,105-110,Digital
synImage465,81.35,80-85,Digital
synImage466,92.16,90-95,Digital
synImage467,78.55,75-80,Digital
synImage468,91.92,90-95,Digital
synImage469,62.56,60-65,Digital
synImage470,92.43,90-95,Digital
synImage471,48.73,45-50,Digital
synImage472,66.11,65-70,Digital
synImage473,107.55,105-110,Digital
synImage474,57.56,55-60,Digital
synImage475,63.03,60-65,Digital
synImage476,109.09,105-110,Digital
synImage477,88.57,85-90,Digital
synImage478,46.87,45-50,Digital
synImage479,47.72,45-50,Digital
synImage480,71.50,70-75,Digital
synImage481,84.06,80-85,Digital
synImage482,41.40,40-45,Digital
synImage483,60.52,60-65,Digital
synImage484,87.03,85-90,Digital
synImage485,90.39,90-95,Digital
synImage486,52.88,50-55,Digital
synImage487,71.43,70-75,Digital
synImage488,74.97,70-75,Digital
synImage489,107.83,105-110,Digital
synImage490,70.61,70-75,Digital
synImage491,69.22,65-70,Digital
synImage492,64.85,60-65,Digital
synImage493,75.47,75-80,Digital
synImage494,40.72,40-45,Digital
synImage495,86.22,85-90,Digital
synImage496,41.44,40-45,Digital
synImage497,67.16,65-70,Digital
synImage498,40.06,40-45,Digital
synImage499,49.42,45-50,Digital
synImage500,88.89,85-90,Digital
synImage501,52.14,50-55,Digital
synImage502,66.48,65-70,Digital
synImage503,104.09,100-105,Digital
synImage504,98.41,95-100,Digital
synImage505,72.26,70-75,Digital
synImage506,41.50,40-45,Digital
synImage507,74.01,70-75,Digital
synImage508,82.96,80-85,Digital
synImage509,105.80,105-110,Digital
synImage510,90.62,90-95,Digital
synImage511,60.32,60-65,Digital
synImage512,45.06,45-50,Digital
synImage513,91.62,90-95,Digital
synImage514,69.83,65-70,Digital
synImage515,44.67,40-45,Digital
synImage516,62.04,60-65,Digital
synImage517,104.37,100-105,Digital
synImage518,47.35,45-50,Digital
synImage519,81.42,80-85,Digital
synImage520,47.38,45-50,Digital
synImage521,89.99,85-90,Digital
synImage522,74.79,70-75,Digital
synImage523,101.82,100-105,Digital
synImage524,50.96,50-55,Digital
synImage525,64.70,60-65,Digital
synImage526,41.72,40-45,Digital
synImage527,109.73,105-110,Digital
synImage528,49.79,45-50,Digital
synImage529,108.98,105-110,Digital
synImage530,64.63,60-65,Digital
synImage531,90.56,90-95,Digital
synImage532,103.84,100-105,Digital
synImage533,73.72,70-75,Digital
synImage534,82.76,80-85,Digital
synImage535,81.17,80-85,Digital
synImage536,44.32,40-45,Digital
synImage537,48.84,45-50,Digital
synImage538,98.19,95-100,Digital
synImage539,86.06,85-90,Digital
synImage540,101.64,100-105,Digital
synImage541,70.91,70-75,Digital
synImage542,103.09,100-105,Digital
synImage543,43.42,40-45,Digital
synImage544,105.43,105-110,Digital
synImage545,40.90,40-45,Digital
synImage546,109.03,105-110,Digital
synImage547,64.40,60-65,Digital
synImage548,92.80,90-95,Digital
synImage549,86.89,85-90,Digital
synImage550,97.60,95-100,Digital
synImage551,107.60,105-110,Digital
synImage552,56.99,55-60,Digital
synImage553,106.09,105-110,Digital
synImage554,74.53,70-75,Digital
synImage555,78.30,75-80,Digital
synImage556,96.22,95-100,Digital
synImage557,42.86,40-45,Digital
synImage558,56.64,55-60,Digital
synImage559,88.27,85-90,Digital
synImage560,45.68,45-50,Digital
synImage561,108.65,105-110,Digital
synImage562,90.84,90-95,Digital
synImage563,78.52,75-80,Digital
synImage564,40.13,40-45,Digital
synImage565,91.93,90-95,Digital
synImage566,50.09,50-55,Digital
synImage567,60.50,60-65,Digital
synImage568,83.17,80-85,Digital
synImage569,54.21,50-55,Digital
synImage570,41.82,40-45,Digital
synImage571,48.91,45-50,Digital
synImage572,44.29,40-45,Digital
synImage573,45.23,45-50,Digital
synImage574,61.13,60-65,Digital
synImage575,44.13,40-45,Digital
synImage576,56.08,55-60,Digital
synImage577,45.94,45-50,Digital
synImage578,41.98,40-45,Digital
synImage579,83.49,80-85,Digital
synImage580,90.47,90-95,Digital
synImage581,99.52,95-100,Digital
synImage582,101.51,100-105,Digital
synImage583,109.25,105-110,Digital
synImage584,57.31,55-60,Digital
synImage585,82.92,80-85,Digital
synImage586,98.12,95-100,Digital
synImage587,96.84,95-100,Digital
synImage588,98.01,95-100,Digital
synImage589,83.26,80-85,Digital
synImage590,63.37,60-65,Digital
synImage591,68.09,65-70,Digital
synImage592,90.55,90-95,Digital
synImage593,41.53,40-45,Digital
synImage594,74.16,70-75,Digital
synImage595,108.24,105-110,Digital
synImage596,108.84,105-110,Digital
synImage597,87.09,85-90,Digital
synImage598,46.45,45-50,Digital
synImage599,84.70,80-85,Digital
synImage600,107.91,105-110,Digital
synImage601,77.84,75-80,Digital
synImage602,74.84,70-75,Digital
synImage603,94.06,90-95,Digital
synImage604,75.50,75-80,Digital
synImage605,41.49,40-45,Digital
synImage606,86.87,85-90,Digital
synImage607,102.68,100-105,Digital
synImage608,59.98,55-60,Digital
synImage609,95.22,95-100,Digital
synImage610,77.55,75-80,Digital
synImage611,100.51,100-105,Digital
synImage612,40.19,40-45,Digital
synImage613,52.48,50-55,Digital
synImage614,101.75,100-105,Digital
synImage615,104.28,100-105,Digital
synImage616,57.86,55-60,Digital
synImage617,52.89,50-55,Digital
synImage618,49.59,45-50,Digital
synImage619,70.86,70-75,Digital
synImage620,95.29,95-100,Digital
synImage621,56.09,55-60,Digital
synImage622,93.10,90-95,Digital
synImage623,50.27,50-55,Digital
synImage624,70.21,70-75,Digital
synImage625,51.99,50-55,Digital
synImage626,86.45,85-90,Digital
synImage627,91.91,90-95,Digital
synImage628,69.70,65-70,Digital
synImage629,53.18,50-55,Digital
synImage630,76.28,75-80,Digital
synImage631,82.72,80-85,Digital
synImage632,104.60,100-105,Digital
synImage633,67.57,65-70,Digital
synImage634,61.37,60-65,Digital
synImage635,40.89,40-45,Digital
synImage636,56.43,55-60,Digital
synImage637,71.74,70-75,Digital
synImage638,69.72,65-70,Digital
synImage639,61.32,60-65,Digital
synImage640,104.29,100-105,Digital
synImage641,102.24,100-105,Digital
synImage642,76.44,75-80,Digital
synImage643,66.31,65-70,Digital
synImage644,80.64,80-85,Digital
synImage645,99.47,95-100,Digital
synImage646,60.70,60-65,Digital
synImage647,44.45,40-45,Digital
synImage648,56.82,55-60,Digital
synImage649,52.59,50-55,Digital
synImage650,77.64,75-80,Digital
synImage651,99.44,95-100,Digital
synImage652,91.13,90-95,Digital
synImage653,40.63,40-45,Digital
synImage654,56.85,55-60,Digital
synImage655,92.34,90-95,Digital
synImage656,108.50,105-110,Digital
synImage657,80.06,80-85,Digital
synImage658,78.35,75-80,Digital
synImage659,105.75,105-110,Digital
synImage660,72.88,70-75,Digital
synImage661,90.10,90-95,Digital
synImage662,47.96,45-50,Digital
synImage663,45.24,45-50,Digital
synImage664,42.37,40-45,Digital
synImage665,54.11,50-55,Digital
synImage666,98.00,95-100,Digital
synImage667,99.03,95-100,Digital
synImage668,63.77,60-65,Digital
synImage669,72.55,70-75,Digital
synImage670,56.25,55-60,Digital
synImage671,43.02,40-45,Digital
synImage672,57.26,55-60,Digital
synImage673,94.85,90-95,Digital
synImage674,60.46,60-65,Digital
synImage675,72.44,70-75,Digital
synImage676,72.67,70-75,Digital
synImage677,88.33,85-90,Digital
synImage678,50.67,50-55,Digital
synImage679,79.86,75-80,Digital
synImage680,67.63,65-70,Digital
synImage681,43.22,40-45,Digital
synImage682,82.74,80-85,Digital
synImage683,68.40,65-70,Digital
synImage684,44.71,40-45,Digital
synImage685,48.52,45-50,Digital
synImage686,109.82,105-110,Digital
synImage687,98.72,95-100,Digital
synImage688,63.89,60-65,Digital
synImage689,82.46,80-85,Digital
synImage690,61.57,60-65,Digital
synImage691,66.25,65-70,Digital
synImage692,73.74,70-75,Digital
synImage693,53.18,50-55,Digital
synImage694,78.30,75-80,Digital
synImage695,46.20,45-50,Digital
synImage696,92.62,90-95,Digital
synImage697,58.16,55-60,Digital
synImage698,41.03,40-45,Digital
synImage699,75.11,75-80,Digital
synImage700,76.23,75-80,Digital
synImage701,57.10,55-60,Digital
synImage702,76.25,75-80,Digital
synImage703,91.58,90-95,Digital
synImage704,82.79,80-85,Digital
synImage705,75.43,75-80,Digital
synImage706,80.87,80-85,Digital
synImage707,77.90,75-80,Digital
synImage708,83.96,80-85,Digital
synImage709,101.40,100-105,Digital
synImage710,77.34,75-80,Digital
synImage711,46.21,45-50,Digital
synImage712,54.18,50-55,Digital
synImage713,108.54,105-110,Digital
synImage714,44.17,40-45,Digital
synImage715,44.95,40-45,Digital
synImage716,58.02,55-60,Digital
synImage717,71.09,70-75,Digital
synImage718,86.44,85-90,Digital
synImage719,48.30,45-50,Digital
synImage720,77.44,75-80,Digital
synImage721,76.43,75-80,Digital
synImage722,67.79,65-70,Digital
synImage723,91.54,90-95,Digital
synImage724,42.94,40-45,Digital
synImage725,74.65,70-75,Digital
synImage726,52.74,50-55,Digital
synImage727,47.81,45-50,Digital
synImage728,45.40,45-50,Digital
synImage729,106.00,105-110,Digital
synImage730,73.96,70-75,Digital
synImage731,91.14,90-95,Digital
synImage732,93.05,90-95,Digital
synImage733,59.73,55-60,Digital
synImage734,57.17,55-60,Digital
synImage735,58.66,55-60,Digital
synImage736,102.45,100-105,Digital
synImage737,40.92,40-45,Digital
synImage738,52.77,50-55,Digital
synImage739,52.83,50-55,Digital
synImage740,98.66,95-100,Digital
synImage741,109.69,105-110,Digital
synImage742,45.70,45-50,Digital
synImage743,85.48,85-90,Digital
synImage744,60.83,60-65,Digital
synImage745,51.83,50-55,Digital
synImage746,103.79,100-105,Digital
synImage747,71.39,70-75,Digital
synImage748,59.42,55-60,Digital
synImage749,56.31,55-60,Digital
synImage750,48.77,45-50,Digital
synImage751,63.53,60-65,Digital
synImage752,45.38,45-50,Digital
synImage753,94.70,90-95,Digital
synImage754,62.95,60-65,Digital
synImage755,66.68,65-70,Digital
synImage756,94.47,90-95,Digital
synImage757,49.65,45-50,Digital
synImage758,107.98,105-110,Digital
synImage759,48.54,45-50,Digital
synImage760,48.17,45-50,Digital
synImage761,107.16,105-110,Digital
synImage762,101.23,100-105,Digital
synImage763,91.14,90-95,Digital
synImage764,105.54,105-110,Digital
synImage765,87.18,85-90,Digital
synImage766,50.09,50-55,Digital
synImage767,50.71,50-55,Digital
synImage768,48.25,45-50,Digital
synImage769,75.02,75-80,Digital
synImage770,101.00,100-105,Digital
synImage771,49.74,45-50,Digital
synImage772,107.73,105-110,Digital
synImage773,69.67,65-70,Digital
synImage774,55.85,55-60,Digital
synImage775,69.18,65-70,Digital
synImage776,100.39,100-105,Digital
synImage777,52.63,50-55,Digital
synImage778,90.94,90-95,Digital
synImage779,85.32,85-90,Digital
synImage780,94.53,90-95,Digital
synImage781,106.27,105-110,Digital
synImage782,54.23,50-55,Digital
synImage783,56.06,55-60,Digital
synImage784,51.69,50-55,Digital
synImage785,97.98,95-100,Digital
synImage786,71.53,70-75,Digital
synImage787,109.93,105-110,Digital
synImage788,58.46,55-60,Digital
synImage789,49.42,45-50,Digital
synImage790,99.33,95-100,Digital
synImage791,102.63,100-105,Digital
synImage792,40.34,40-45,Digital
synImage793,102.51,100-105,Digital
synImage794,43.86,40-45,Digital
synImage795,50.16,50-55,Digital
synImage796,105.65,105-110,Digital
synImage797,54.92,50-55,Digital
synImage798,67.60,65-70,Digital
synImage799,81.79,80-85,Digital
synImage800,52.08,50-55,Digital
synImage801,71.58,70-75,Digital
synImage802,65.24,65-70,Digital
synImage803,98.06,95-100,Digital
synImage804,104.89,100-105,Digital
synImage805,89.21,85-90,Digital
synImage806,44.52,40-45,Digital
synImage807,54.71,50-55,Digital
synImage808,78.32,75-80,Digital
synImage809,92.34,90-95,Digital
synImage810,91.98,90-95,Digital
synImage811,51.27,50-55,Digital
synImage812,73.58,70-75,Digital
synImage813,101.10,100-105,Digital
synImage814,84.18,80-85,Digital
synImage815,57.04,55-60,Digital
synImage816,57.91,55-60,Digital
synImage817,67.69,65-70,Digital
synImage818,56.37,55-60,Digital
synImage819,100.89,100-105,Digital
synImage820,58.04,55-60,Digital
synImage821,51.15,50-55,Digital
